age_bracket,travelling_with,female_count,male_count,key_activity,trip_purpose,first_time_visitor,mainland_nights,island_nights,tour_arrangement,transport_package_international,source_of_info,package_accomodation,food_package,transport_package_mx,sightseeing_package,guided_tour_package,insurance_package,days_before_booked,weather_at_arrival,tour_length,special_requirements,total_travellers,spending,total_nights,booked_late,ratio,category
55,3,1.0,2.0,3,5,1,0,7,0,0,5,0,0,0,0,0,0,22,1,40,1,3.0,6.521512483,7,0,2.0,1.0
55,1,1.0,0.0,2,2,1,6,0,0,0,3,0,0,0,0,0,0,22,2,40,1,1.0,7.781739015,6,0,0.0,2.0
35,3,2.0,0.0,5,2,0,4,2,0,0,4,0,0,0,0,0,0,100,2,40,1,2.0,5.646109133,6,0,0.0,2.0
35,2,1.0,1.0,1,5,1,0,7,1,0,5,2,2,1,1,1,0,11,2,20,1,2.0,6.66460256,7,0,1.0,0.0
35,2,1.0,1.0,3,5,1,0,7,1,1,5,2,2,0,0,0,0,100,2,10,1,2.0,6.66460256,7,0,1.0,0.0
35,3,0.0,2.0,1,1,1,2,0,0,0,5,0,0,0,0,0,0,22,2,10,1,2.0,4.760582619,2,0,12.0,1.0
35,2,1.0,1.0,6,1,0,5,2,0,0,5,0,0,0,0,0,0,100,2,40,1,2.0,4.615932526,7,0,1.0,0.0
55,1,0.0,1.0,2,2,0,1,0,0,0,3,0,0,0,0,0,0,100,1,10,1,1.0,7.781739015,1,0,12.0,2.0
21,2,1.0,1.0,1,5,1,20,10,0,0,5,0,0,0,0,0,0,22,2,10,1,2.0,6.001077247,30,0,1.0,0.0
35,1,0.0,1.0,3,3,0,3,1,0,0,5,0,0,0,0,0,0,75,2,3,1,1.0,7.781739015,4,0,12.0,1.0
35,2,1.0,1.0,3,5,1,0,5,0,0,5,0,0,0,0,0,0,75,2,22,2,2.0,6.66460256,5,0,1.0,1.0
55,3,3.0,2.0,6,4,1,7,0,0,0,4,0,0,0,0,0,1,75,3,10,1,5.0,6.317842213,7,0,0.6666666666666666,2.0
35,2,1.0,1.0,3,5,1,0,7,1,1,5,2,2,0,0,0,0,22,2,3,2,2.0,6.66460256,7,0,1.0,0.0
35,2,1.0,1.0,3,5,1,0,7,1,1,4,2,2,1,0,0,0,45,2,40,1,2.0,6.66460256,7,0,1.0,0.0
55,2,1.0,1.0,1,5,1,5,4,1,1,5,2,2,1,1,0,0,75,2,3,1,2.0,10.49669737,9,0,1.0,0.0
55,2,1.0,1.0,1,5,1,7,0,1,1,5,0,2,1,1,1,0,75,2,10,1,2.0,10.49669737,7,0,1.0,0.0
35,2,1.0,1.0,3,5,1,5,3,1,1,5,2,2,1,1,0,1,22,2,3,1,2.0,10.49669737,8,0,1.0,1.0
35,1,1.0,0.0,2,5,1,6,2,1,0,5,2,2,1,1,1,0,100,2,40,1,1.0,6.521512483,8,0,0.0,1.0
35,3,1.0,1.0,3,5,0,13,0,0,0,4,0,0,0,0,0,0,75,3,40,1,2.0,6.359114199,13,0,1.0,2.0
21,2,1.0,1.0,3,5,1,0,7,1,1,5,2,2,1,0,0,0,22,2,3,1,2.0,6.66460256,7,0,1.0,0.0
55,1,1.0,0.0,3,4,1,3,0,0,0,4,0,0,0,0,0,0,45,3,3,1,1.0,5.646109133,3,0,0.0,1.0
55,1,0.0,1.0,1,5,1,4,3,0,0,5,0,0,0,0,0,0,100,2,10,1,1.0,10.49669737,7,0,12.0,0.0
70,1,1.0,0.0,6,5,1,15,1,1,0,5,2,2,0,1,1,0,22,2,40,1,1.0,6.317842213,16,0,0.0,0.0
35,3,2.0,2.0,6,5,0,0,3,0,0,4,0,0,0,0,0,0,100,1,3,1,4.0,7.781739015,3,0,1.0,0.0
21,3,2.0,1.0,1,5,1,9,0,1,1,5,2,2,1,1,1,0,75,2,22,1,3.0,6.521512483,9,0,0.5,0.0
35,3,1.0,3.0,3,5,1,0,7,1,1,4,2,2,1,0,1,0,75,2,10,1,4.0,6.66460256,7,0,3.0,0.0
55,3,3.0,2.0,5,5,1,5,10,1,1,5,2,2,1,1,1,2,75,3,10,1,5.0,6.66460256,15,0,0.6666666666666666,0.0
35,1,0.0,1.0,6,1,0,7,0,0,0,4,0,0,0,0,0,0,75,2,40,1,1.0,6.359114199,7,0,12.0,1.0
35,2,1.0,1.0,5,5,1,0,15,0,0,4,0,0,0,0,0,0,75,2,22,1,2.0,6.317842213,15,0,1.0,1.0
35,2,1.0,1.0,1,5,1,8,6,0,0,5,0,0,0,0,0,0,100,1,22,1,2.0,6.317842213,14,0,1.0,0.0
35,1,1.0,0.0,4,2,1,3,0,0,0,5,0,0,0,0,0,0,75,2,3,1,1.0,5.646109133,3,0,0.0,1.0
70,2,1.0,1.0,1,5,0,4,0,1,1,5,2,2,1,1,1,2,100,2,40,1,2.0,5.69267197,4,0,1.0,0.0
55,1,0.0,1.0,5,2,0,13,0,0,0,5,0,0,0,0,0,0,75,2,22,1,1.0,5.646109133,13,0,12.0,1.0
55,2,1.0,1.0,2,5,0,0,7,1,1,5,2,2,1,0,0,0,100,2,40,1,2.0,5.646109133,7,0,1.0,0.0
35,3,1.0,1.0,3,5,0,0,9,0,0,4,0,0,0,0,0,0,100,2,22,1,2.0,9.494009243,9,0,1.0,1.0
35,3,2.0,2.0,2,5,1,0,7,1,1,4,2,0,1,0,0,0,75,2,10,1,4.0,6.521512483,7,0,1.0,0.0
35,2,1.0,1.0,3,5,1,0,6,1,1,5,2,2,1,1,1,0,100,2,40,1,2.0,5.646109133,6,0,1.0,1.0
